index,cve,type,date
498,cve-2013-2367,,
499,cve-2011-4157,,
500,cve-2009-2485,,
501,cve-2000-0208,,
502,cve-2010-0255,,
503,cve-2008-4385,,
504,cve-2012-0202,,
505,cve-2009-0880,,
506,cve-2015-0117,,
507,cve-2011-1216,,
508,cve-2012-2174,,
509,cve-2012-0201,,
510,cve-2011-1220,,
511,cve-2009-3853,,
512,cve-2015-1833,,
513,cve-2007-1036,,
514,cve-2015-8562,,
515,cve-2017-8917,,
516,cve-2015-7755,,
517,cve-2013-3934,,
518,cve-2012-4711,,
519,cve-2011-0406,,
520,cve-2007-1674,,
521,cve-2012-2915,,
522,cve-2012-1195,,
523,cve-2011-4825,,
524,cve-2012-1182,,
525,cve-2011-0609,,
526,cve-2011-2101,,
527,cve-2017-0199,,
528,cve-2017-0199,,
529,cve-2017-8464,,
530,cve-2012-0002,,
531,cve-2012-0002,,
532,cve-2012-0002,,
533,cve-2012-0002,,
534,cve-2014-1761,,
535,cve-2014-1761,,
536,cve-2016-0018,,
537,cve-2014-6321,,
538,cve-2010-3964,,
539,cve-2009-3676,,
540,cve-2012-0013,,
541,cve-2014-6321,,
542,cve-2011-3402,,
543,cve-2009-0563,,
544,cve-2009-5109,,
545,cve-2010-0480,,
546,cve-2010-1248,,
547,cve-2010-0822,,
548,cve-2010-1246,,
549,cve-2011-0105,,
550,cve-2011-1276,,
551,cve-2006-3471,,
552,cve-2010-3333,,
553,cve-2013-1291,,
554,cve-2005-1213,,
555,cve-2011-0655,,
556,cve-2002-0649,,
557,cve-2007-3896,,
558,cve-2007-0936,,
559,cve-2012-1856,,
560,cve-2010-2568,,
561,cve-2012-1851,,
562,cve-2012-1851,,
563,cve-2005-4560,,
564,cve-2013-4822,,
565,cve-2012-5613,,
566,cve-2016-9565,,
567,cve-2016-9565,,
568,cve-2012-1465,,
569,cve-2007-1689,,
570,cve-2011-3176,,
571,cve-2012-4933,,
572,cve-2011-2657,,
573,cve-2016-7434,,
574,cve-2009-1831,,
575,cve-2006-5780,,
576,cve-2012-0261,,
577,cve-2012-0262,,
578,cve-2008-6508,,
579,cve-2016-0777,,
580,cve-2016-0777,,
581,cve-2014-0160,,
582,cve-2014-0160,,
583,cve-2014-0160,,
584,cve-2014-0160,,
585,cve-2014-0195,,
586,cve-2014-0160,,
587,cve-2013-3763,,
588,cve-2016-6662,,
589,cve-2012-0554,,
590,cve-2016-0491,,
591,cve-2016-0490,,
592,cve-2009-3214,,
593,cve-2009-3214,,
594,cve-2012-2329,,
595,cve-2016-3078,,
596,cve-2012-1823,,
597,cve-2011-4075,,
598,cve-2016-10033,,
599,cve-2016-10033,,
600,cve-2012-5159,,
601,cve-2009-4605,,
602,cve-2013-3238,,
603,cve-2016-5734,,
604,cve-2008-6132,,
605,cve-2012-3951,,
606,cve-2011-4453,,
607,cve-2010-2311,,
608,cve-2014-0980,,
609,cve-2012-1223,,
610,cve-2012-5961,,
611,cve-2012-5961,,
612,cve-2011-2950,,
