CVE,Website Name,Disclosed Date
MS15-100,Rapid7,2015-09-08
CVE-2006-0027,Rapid7,2004-11-12
CVE-2009-0927,Rapid7,2009-03-24
CVE-2017-7494,Rapid7,2017-03-24
MS13-005,Rapid7,2012-11-27
MS13-009,Rapid7,2013-02-13
CVE-2008-2992,Rapid7,2008-02-08
CVE-2008-5416,Rapid7,2008-12-09
CVE-2014-7205,Rapid7,2016-11-01
CVE-2014-6038,Rapid7,2014-11-05
CVE-2016-3714,Rapid7,2016-05-03
CVE-2010-3552,Rapid7,2010-10-12
CVE-2017-6526,Rapid7,2017-03-08
CVE-2013-3906,Rapid7,2013-11-05
MS11-050,Rapid7,2011-06-16
MS14-070,Rapid7,2014-11-11
CVE-2013-1488,Rapid7,2013-01-10
CVE-2016-7552,Rapid7,2017-04-10
CVE-2014-9222,Rapid7,2014-12-17
CVE-2013-1710,Rapid7,2013-05-14
CVE-2012-1182,Rapid7,2012-04-10
CVE-2014-0515,Rapid7,2014-04-28
CVE-2007-2446,Rapid7,
CVE-2007-2446,Rapid7,2007-05-14
CVE-2015-7450,Rapid7,2015-11-06
CVE-2012-1535,Rapid7,2012-08-09
CVE-2017-5689,Rapid7,2017-05-05
CVE-2012-1823,Rapid7,2012-05-03
CVE-2015-3628,Rapid7,2015-09-03
CVE-2014-0195,Rapid7,2014-06-05
CVE-2013-0431,Rapid7,2013-01-19
MS12-027,Rapid7,2012-04-10
CVE-2011-2110,Rapid7,2012-06-21
CVE-2016-0710,Rapid7,2016-03-06
CVE-2015-0313,Rapid7,2015-02-02
MS09-050,Rapid7,2009-09-07
CVE-2015-0311,Rapid7,2014-04-28
CVE-2014-4404,Rapid7,2014-09-24
CVE-2010-0840,Rapid7,2010-03-31
CVE-2015-0318,Rapid7,2014-11-25
CVE-2000-0945,Rapid7,2000-10-26
CVE-2007-2386,Rapid7,2007-05-25
CVE-2017-6326,Rapid7,2017-04-26
CVE-2015-7857,Rapid7,2015-10-23
