cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2013-1504,,,2013-04-17,f
cve-2017-6399,,,2017-03-02,f
cve-2017-6400,,,2017-03-02,f
cve-2009-4689,,2009-08-21,2010-03-10,f
cve-2009-4657,,2009-09-18,2010-03-03,f
cve-2013-0518,,,2013-05-10,f
cve-2009-1584,,2009-05-05,2009-05-07,f
cve-2012-5176,,,2012-12-06,f
cve-2013-0852,,,2013-12-07,f
cve-2009-4805,,,2010-04-23,f
cve-2009-4748,,2009-07-15,2010-03-26,f
cve-2013-1284,,,2013-04-09,f
cve-2010-1992,,,2010-05-20,f
cve-2010-0471,,,2010-02-02,f
cve-2016-0688,,,2016-04-21,f
cve-2009-4807,,2009-03-02,2010-04-23,f
cve-2009-4836,,2009-06-03,2010-05-05,f
cve-2013-0937,,,2013-05-10,f
cve-2013-3608,,,2013-09-07,f
cve-2013-3689,,,2013-10-04,f
cve-2009-4879,,,2010-05-26,f
cve-2015-7470,,,2016-01-16,f
cve-2009-4841,,2009-05-29,2010-05-05,f
cve-2009-4862,,2009-08-07,2010-05-10,f
cve-2009-4872,,2009-08-07,2010-05-10,f
cve-2009-4928,,,2010-07-09,f
cve-2017-6411,,,2017-03-06,f
cve-2010-0137,,,2010-01-21,f
cve-2013-3706,2014-04-03,,2014-03-06,f
cve-2010-0058,,,2010-03-30,f
cve-2010-0180,,,2010-06-28,f
cve-2010-0299,,,2010-02-22,f
cve-2010-0361,,2010-08-07,2010-01-20,f
cve-2009-4533,,,2009-12-31,f
cve-2010-2732,,,2010-11-09,f
cve-2009-1838,,,2009-06-12,f
cve-2009-1958,,,2009-06-06,f
cve-2009-2331,,,2009-07-05,f
cve-2009-2468,,,2009-07-22,f
cve-2015-2111,,,2015-04-03,f
cve-2009-2722,,,2009-08-10,f
cve-2009-2808,,,2009-11-10,f
cve-2009-3428,,2009-08-11,2009-09-25,f
cve-2009-5126,,,2012-08-25,f
cve-2014-3160,,,2014-07-20,f
cve-2011-2024,,,2011-06-02,f
cve-2010-0391,,,2010-01-26,f
cve-2010-0534,,,2010-03-30,f
cve-2010-0736,,,2010-03-19,f
cve-2017-6436,,,2017-03-15,f
cve-2010-0770,,,2010-04-01,f
cve-2010-0930,,,2010-03-05,f
cve-2010-0947,,,2010-03-09,f
cve-2010-0954,,,2010-03-09,f
cve-2010-1005,,,2010-03-19,f
cve-2010-1135,,,2010-03-26,f
cve-2013-3780,,,2013-07-17,f
cve-2013-3810,,,2013-07-17,f
cve-2013-3950,,,2013-06-05,f
cve-2014-5882,,,2014-09-11,f
cve-2016-5135,,,2016-07-23,f
cve-2009-2816,,,2009-11-13,f
cve-2010-1586,,2010-04-25,2010-04-28,f
cve-2010-1592,,,2010-04-28,f
cve-2010-1856,,2010-03-23,2010-05-07,f
cve-2017-6438,,,2017-03-15,f
cve-2010-1972,,,2010-07-21,f
cve-2010-1976,,,2010-05-19,f
cve-2010-1995,,,2010-05-20,f
cve-2010-2043,,,2010-05-25,f
cve-2017-6439,,,2017-03-15,f
cve-2010-2054,,,2010-06-14,f
cve-2010-2116,,,2010-05-28,f
cve-2010-2220,,,2010-08-11,f
cve-2010-2258,,,2010-06-09,f
cve-2013-3954,,,2013-06-05,f
cve-2015-2904,,,2015-08-23,f
cve-2009-3799,2009-12-09,,2009-12-10,f
cve-2010-2261,,,2010-06-09,f
cve-2010-2269,,,2010-06-14,f
cve-2010-2364,,,2010-08-31,f
cve-2017-6444,,,2017-03-12,f
cve-2010-3733,,,2010-10-05,f
cve-2010-2433,,2010-06-21,2010-06-23,f
cve-2010-2668,,,2010-07-08,f
cve-2010-2710,,,2010-08-20,f
cve-2010-0200,,,2010-04-14,f
cve-2010-2724,,,2010-07-13,f
cve-2010-2800,,,2010-08-06,f
cve-2010-2961,,2010-09-21,2010-09-14,f
cve-2011-1260,2011-06-14,2011-06-17,2011-06-16,f
cve-2011-1485,,2014-10-20,2011-05-31,f
cve-2011-2653,2011-12-07,2012-08-15,2011-12-08,f
cve-2010-2852,,,2010-07-23,f
cve-2013-4012,,,2013-12-22,f
cve-2011-1213,,2011-06-23,2011-05-31,f
cve-2011-1220,2011-05-31,2011-06-12,2011-06-02,f
cve-2011-4462,,,2011-12-29,f
cve-2013-5455,,,2013-12-06,f
cve-2009-5024,,,2011-05-23,f
cve-2009-3996,,,2009-12-18,f
cve-2009-5022,,2012-11-13,2011-05-03,f
cve-2010-4032,,,2010-11-01,f
cve-2013-6196,,,2013-12-21,f
cve-2017-6468,,,2017-03-03,f
cve-2017-6470,,,2017-03-03,f
cve-2011-0281,,,2011-02-10,f
cve-2010-3444,,,2011-01-10,f
cve-2010-3931,,,2011-01-20,f
cve-2013-4019,,,2013-10-01,f
cve-2010-4160,,,2011-01-07,f
cve-2010-4471,,,2011-02-17,f
cve-2013-4021,,,2013-10-01,f
cve-2010-4743,,,2011-02-18,f
cve-2011-0086,,,2011-02-08,f
cve-2013-3630,,2013-10-31,2013-10-31,f
cve-2009-0596,,,2009-02-16,f
cve-2009-0629,,,2009-03-27,f
cve-2011-0225,,,2011-07-21,f
cve-2011-5260,,,2013-02-12,f
cve-2017-6479,,,2017-03-05,f
cve-2017-6480,,,2017-03-05,f
cve-2011-0720,,,2011-02-03,f
