cve,assign_date,edb_date,date_diff
CVE-2015-0649,2015-01-07,,
CVE-2015-0650,2015-01-07,,
CVE-2015-0651,2015-01-07,,
CVE-2015-0652,2015-01-07,,
CVE-2015-0653,2015-01-07,,
CVE-2015-0654,2015-01-07,,
CVE-2015-0655,2015-01-07,,
CVE-2015-0656,2015-01-07,,
CVE-2015-0657,2015-01-07,,
CVE-2015-0658,2015-01-07,,
CVE-2015-0659,2015-01-07,,
CVE-2015-0660,2015-01-07,,
CVE-2015-0661,2015-01-07,,
CVE-2015-0662,2015-01-07,,
CVE-2015-0663,2015-01-07,,
CVE-2015-0664,2015-01-07,,
CVE-2015-0665,2015-01-07,,
CVE-2015-0666,2015-01-07,,
CVE-2015-0667,2015-01-07,,
CVE-2015-0668,2015-01-07,,
CVE-2015-0669,2015-01-07,,
CVE-2015-0670,2015-01-07,,
CVE-2015-0671,2015-01-07,,
CVE-2015-0672,2015-01-07,,
CVE-2015-0673,2015-01-07,,
CVE-2015-0675,2015-01-07,,
CVE-2015-0676,2015-01-07,,
CVE-2015-0677,2015-01-07,,
CVE-2015-0678,2015-01-07,,
CVE-2015-0679,2015-01-07,,
CVE-2015-0680,2015-01-07,,
CVE-2015-0681,2015-01-07,,
CVE-2015-0682,2015-01-07,,
CVE-2015-0683,2015-01-07,,
CVE-2015-0684,2015-01-07,,
CVE-2015-0685,2015-01-07,,
CVE-2015-0686,2015-01-07,,
CVE-2015-0687,2015-01-07,,
CVE-2015-0688,2015-01-07,,
CVE-2015-0690,2015-01-07,,
CVE-2015-0691,2015-01-07,,
CVE-2015-0692,2015-01-07,,
CVE-2015-0693,2015-01-07,,
CVE-2015-0694,2015-01-07,,
CVE-2015-0695,2015-01-07,,
CVE-2015-0696,2015-01-07,,
CVE-2015-0697,2015-01-07,,
CVE-2015-0698,2015-01-07,,
CVE-2015-0699,2015-01-07,,
CVE-2015-0700,2015-01-07,,
CVE-2015-0701,2015-01-07,,
CVE-2015-0702,2015-01-07,,
CVE-2015-0703,2015-01-07,,
CVE-2015-0704,2015-01-07,,
CVE-2015-0705,2015-01-07,,
CVE-2015-0706,2015-01-07,,
CVE-2015-0707,2015-01-07,,
CVE-2015-0708,2015-01-07,,
CVE-2015-0709,2015-01-07,,
CVE-2015-0710,2015-01-07,,
CVE-2015-0711,2015-01-07,,
CVE-2015-0712,2015-01-07,,
CVE-2015-0713,2015-01-07,,
CVE-2015-0714,2015-01-07,,
CVE-2015-0715,2015-01-07,,
CVE-2015-0716,2015-01-07,,
CVE-2015-0717,2015-01-07,,
CVE-2015-0718,2015-01-07,,
CVE-2015-0721,2015-01-07,,
CVE-2015-0722,2015-01-07,,
CVE-2015-0723,2015-01-07,,
CVE-2015-0724,2015-01-07,,
CVE-2015-0725,2015-01-07,,
CVE-2015-0726,2015-01-07,,
CVE-2015-0727,2015-01-07,,
CVE-2015-0728,2015-01-07,,
CVE-2015-0729,2015-01-07,,
CVE-2015-0730,2015-01-07,,
CVE-2015-0731,2015-01-07,,
CVE-2015-0732,2015-01-07,,
CVE-2015-0733,2015-01-07,,
CVE-2015-0734,2015-01-07,,
CVE-2015-0735,2015-01-07,,
CVE-2015-0736,2015-01-07,,
CVE-2015-0737,2015-01-07,,
CVE-2015-0738,2015-01-07,,
CVE-2015-0739,2015-01-07,,
CVE-2015-0740,2015-01-07,,
CVE-2015-0741,2015-01-07,,
CVE-2015-0742,2015-01-07,,
CVE-2015-0743,2015-01-07,,
CVE-2015-0744,2015-01-07,,
CVE-2015-0745,2015-01-07,,
CVE-2015-0746,2015-01-07,,
CVE-2015-0747,2015-01-07,,
CVE-2015-0750,2015-01-07,,
CVE-2015-0751,2015-01-07,,
CVE-2015-0752,2015-01-07,,
CVE-2015-0753,2015-01-07,,
CVE-2015-0754,2015-01-07,,
CVE-2015-0755,2015-01-07,,
CVE-2015-0756,2015-01-07,,
