cve,assign_date,published_date,date_diff
CVE-2015-0601,1/7/2015,2/6/2015,30
CVE-2015-0602,1/7/2015,2/7/2015,31
CVE-2015-0603,1/7/2015,2/6/2015,30
CVE-2015-0604,1/7/2015,2/6/2015,30
CVE-2015-0605,1/7/2015,2/6/2015,30
CVE-2015-0606,1/7/2015,2/11/2015,35
CVE-2015-0607,1/7/2015,3/5/2015,57
CVE-2015-0608,1/7/2015,2/11/2015,35
CVE-2015-0609,1/7/2015,2/15/2015,39
CVE-2015-0610,1/7/2015,2/11/2015,35
CVE-2015-0611,1/7/2015,2/11/2015,35
CVE-2015-0612,1/7/2015,4/3/2015,86
CVE-2015-0613,1/7/2015,4/3/2015,86
CVE-2015-0614,1/7/2015,4/3/2015,86
CVE-2015-0615,1/7/2015,4/3/2015,86
CVE-2015-0616,1/7/2015,4/3/2015,86
